Number of Chains,Time (seconds),Standard Deviation (seconds)
1,0.001989440293982625,0.00201574363745749
101,0.0010892109712585807,0.001959224697202444
201,0.0011702391784638166,0.002839871682226658
301,0.0016996804624795914,0.0035129559691995382
401,0.0006685479893349111,0.0008489537285640836
501,0.0005691999685950577,0.0008630045340396464
601,0.0009523468906991184,0.0012787055457010865
701,0.0005792726296931505,0.0007605759892612696
801,0.0008880868554115295,0.0013412514235824347
901,0.000784489035140723,0.0011355874594300985
1001,0.0004917673068121076,0.0006621642969548702
1101,0.0006402968429028988,0.0008502430864609778
1201,0.004947233945131302,0.01763785444200039
1301,0.0008874442428350449,0.0014087343588471413
